time,data
1,1.24306e+70
2,4.97223e+70
3,1.11875e+71
4,1.98889e+71
5,3.10764e+71
6,4.475e+71
7,6.09098e+71
8,7.95556e+71
9,1.00688e+72
10,1.24306e+72
11,1.5041e+72
12,1.79e+72
13,2.10077e+72
14,2.43639e+72
15,2.79688e+72
16,3.18222e+72
17,3.59243e+72
18,4.0275e+72
19,4.48743e+72
20,4.97223e+72
21,5.48188e+72
22,6.01639e+72
23,6.57577e+72
24,7.16001e+72
25,7.7691e+72
26,8.40306e+72
27,9.06188e+72
28,9.74556e+72
29,1.04541e+73
30,1.11875e+73
31,1.19458e+73
32,1.27289e+73
33,1.35369e+73
34,1.43697e+73
35,1.52274e+73
36,1.611e+73
37,1.70174e+73
38,1.79497e+73
39,1.89069e+73
40,1.98889e+73
41,2.08958e+73
42,2.19275e+73
43,2.29841e+73
44,2.40656e+73
45,2.51719e+73
46,2.63031e+73
47,2.74591e+73
48,2.864e+73
49,2.98458e+73
50,3.10764e+73
51,3.23319e+73
52,3.36122e+73
53,3.49175e+73
54,3.62475e+73
55,3.76025e+73
56,3.89823e+73
57,4.03869e+73
58,4.18164e+73
59,4.32708e+73
60,4.475e+73
61,4.62541e+73
62,4.77831e+73
63,4.93369e+73
64,5.09156e+73
65,5.25191e+73
66,5.41475e+73
67,5.58008e+73
68,5.74789e+73
69,5.91819e+73
70,6.09098e+73
71,6.26625e+73
72,6.44401e+73
73,6.62425e+73
74,6.80698e+73
75,6.99219e+73
76,7.17989e+73
77,7.37008e+73
78,7.56276e+73
79,7.75792e+73
80,7.95556e+73
81,8.15569e+73
82,8.35831e+73
83,8.56342e+73
84,8.77101e+73
85,8.98108e+73
86,9.19365e+73
87,9.40869e+73
88,9.62623e+73
89,9.84625e+73
90,1.00688e+74
91,1.02938e+74
92,1.05212e+74
93,1.07512e+74
94,1.09836e+74
95,1.12186e+74
96,1.1456e+74
97,1.16959e+74
98,1.19383e+74
99,1.21832e+74
100,1.24306e+74
101,1.26804e+74
102,1.29328e+74
103,1.31876e+74
104,1.34449e+74
105,1.37047e+74
106,1.3967e+74
107,1.42318e+74
108,1.4499e+74
109,1.47688e+74
110,1.5041e+74
111,1.53157e+74
112,1.55929e+74
113,1.58726e+74
114,1.61548e+74
115,1.64394e+74
116,1.67266e+74
117,1.70162e+74
118,1.73083e+74
119,1.76029e+74
120,1.79e+74
121,1.81996e+74
122,1.85017e+74
123,1.88062e+74
124,1.91132e+74
125,1.94228e+74
126,1.97348e+74
127,2.00493e+74
128,2.03662e+74
129,2.06857e+74
130,2.10077e+74
131,2.13321e+74
132,2.1659e+74
133,2.19884e+74
134,2.23203e+74
135,2.26547e+74
136,2.29916e+74
137,2.33309e+74
138,2.36728e+74
139,2.40171e+74
140,2.43639e+74
141,2.47132e+74
142,2.5065e+74
143,2.54193e+74
144,2.5776e+74
145,2.61353e+74
146,2.6497e+74
147,2.68612e+74
148,2.72279e+74
149,2.75971e+74
150,2.79688e+74
151,2.83429e+74
152,2.87196e+74
153,2.90987e+74
154,2.94803e+74
155,2.98644e+74
156,3.0251e+74
157,3.06401e+74
158,3.10317e+74
159,3.14257e+74
160,3.18222e+74
161,3.22213e+74
162,3.26228e+74
163,3.30268e+74
164,3.34332e+74
165,3.38422e+74
166,3.42537e+74
167,3.46676e+74
168,3.5084e+74
169,3.55029e+74
170,3.59243e+74
171,3.63482e+74
172,3.67746e+74
173,3.72034e+74
174,3.76348e+74
175,3.80686e+74
176,3.85049e+74
177,3.89437e+74
178,3.9385e+74
179,3.98288e+74
180,4.0275e+74
181,4.07238e+74
182,4.1175e+74
183,4.16287e+74
184,4.20849e+74
185,4.25436e+74
